kx,ky,phasor
-49+0i,24+0i,0.307123040287388-0.490561686020379i
-49+0i,25+0i,11.3672421946655-2.1260211351399i
-49+0i,26+0i,8.0839148357687-10.3009964215072i
-49+0i,27+0i,-9.35467029286457+9.68745005298845i
-49+0i,28+0i,4.76389272022496+8.83211940487914i
-49+0i,29+0i,14.0825047824235-6.6873652298109i
-49+0i,30+0i,-5.57345938263599-1.48183274077414i
-49+0i,31+0i,-2.80296848127468-1.41788913668499i
-49+0i,32+0i,-0.262368071530751-0.337155413432918i
-49+0i,33+0i,-0.588389013489259+0.637237801004238i
-49+0i,34+0i,-3.57245670252845-5.00362526114682i
-49+0i,35+0i,-4.15063828667304+2.05019064502623i
-49+0i,36+0i,0.83502044909053-7.93744416937914i
-49+0i,37+0i,-7.63781402720171-3.87658155798258i
-49+0i,38+0i,3.26046180622459+6.05349756445407i
-49+0i,39+0i,-6.22421662844085-2.84511244282903i
-49+0i,40+0i,-19.6300891959838-0.0104243905992i
-49+0i,41+0i,-1.9038680295425-4.48063511413797i
-49+0i,42+0i,4.75383364235957+0.6287878480876i
-49+0i,43+0i,7.11478622756544-0.40062728419079i
-49+0i,44+0i,-2.34347418518115-0.48119146653754i
-49+0i,45+0i,-5.83920996946216-0.33130471919429i
-49+0i,46+0i,-4.0820827940167-18.3132793108963i
-49+0i,47+0i,-4.02697398544236-1.8361019534255i
-49+0i,48+0i,1.97577479168156+5.16009352008318i
-49+0i,49+0i,-1.34632445138762+0.77480974400707i
-49+0i,50+0i,0.00545460225242+2.27143609186079i
-48+0i,-49+0i,-2.71996845684389+1.78077998845297i
-48+0i,-48+0i,1.04805533615+1.93785597080693i
-48+0i,-47+0i,0.70034322958627-5.76005234717911i
-48+0i,-46+0i,1.29344131201491+4.15316248033235i
-48+0i,-45+0i,3.75296542510082-1.44391025840087i
-48+0i,-44+0i,-8.56508550309052-1.64329988018052i
-48+0i,-43+0i,-2.63571372206965+2.50762376311264i
-48+0i,-42+0i,1.631930003571-11.4907354698219i
-48+0i,-41+0i,4.66959736957908-5.71034262990805i
-48+0i,-40+0i,-5.12793129026931+3.29819584482843i
-48+0i,-39+0i,-12.0911844798262-1.3250180650146i
-48+0i,-38+0i,-2.10364010651328-8.25337138820088i
-48+0i,-37+0i,-3.66531362245697-4.25600688917966i
-48+0i,-36+0i,12.5916615662144-2.0890239613175i
-48+0i,-35+0i,8.49135411522562-2.55619993787978i
-48+0i,-34+0i,-11.1088240848632+5.2573791610934i
-48+0i,-33+0i,-5.63602858865521+4.82983913072845i
-48+0i,-32+0i,-8.86607865557551+3.43190168415703i
-48+0i,-31+0i,-12.7143256241768-3.0642530922287i
-48+0i,-30+0i,-7.8002488298349-0.56131081909025i
-48+0i,-29+0i,-0.76915703529557+1.44088614124762i
-48+0i,-28+0i,-1.87462776255679-9.66613069496554i
-48+0i,-27+0i,6.02553834485442-4.96060023345331i
-48+0i,-26+0i,10.7342035147426+2.561013757241i
-48+0i,-25+0i,-8.9403924499632+16.0330883358152i
-48+0i,-24+0i,-10.9299337079351+10.1592686763152i
-48+0i,-23+0i,-12.5504874621486-5.0083244001977i
-48+0i,-22+0i,-6.46403060250844+2.4468768048824i
-48+0i,-21+0i,11.0675763588659-1.5528430853284i
-48+0i,-20+0i,-1.12505195700877+7.27703028760212i
-48+0i,-19+0i,-10.3739974119774+4.1202114984891i
-48+0i,-18+0i,-2.2683315979283-14.2458658914552i
-48+0i,-17+0i,9.34721628556691-6.81040026836812i
-48+0i,-16+0i,10.1861679636056-6.0094458744636i
-48+0i,-15+0i,4.86345097199244+4.8125724668691i
-48+0i,-14+0i,-1.44570268084055+7.50241766872638i
-48+0i,-13+0i,-13.7149146253269-1.836327832391i
-48+0i,-12+0i,4.20732136827618-0.98919234546695i
-48+0i,-11+0i,7.9620360165771-21.6095095450047i
-48+0i,-10+0i,-13.1057535393476+5.2874514048482i
-48+0i,-9+0i,6.4657942803282+50.6507038101951i
-48+0i,-8+0i,1.17707187242709+8.35242414110208i
-48+0i,-7+0i,-19.646935402548-23.7121775747678i
-48+0i,-6+0i,2.50396976441966-6.7819481046158i
-48+0i,-5+0i,4.37447423155975-1.20062792161578i
-48+0i,-4+0i,16.5135785853323+4.406375494839i
-48+0i,-3+0i,19.8068596094085+0.0793626917746i
-48+0i,-2+0i,-21.6394240035359-1.5590611691739i
-48+0i,-1+0i,3.17875621556964-8.49017281686483i
-48+0i,0+0i,24.8510633032502-27.1545048137706i
-48+0i,1+0i,-4.68004654716082-4.30141802345609i
-48+0i,2+0i,5.37585857580246+8.57137498556297i
-48+0i,3+0i,-1.23403089917744+0.10069081876121i
-48+0i,4+0i,-16.8027212506564+19.3988391942909i
-48+0i,5+0i,-2.8732220089652+12.1247318826815i
-48+0i,6+0i,-9.8475261351013-13.0039978349385i
-48+0i,7+0i,-8.91336918602425-9.08160974393574i
-48+0i,8+0i,6.72643861538912-3.27620713460851i
-48+0i,9+0i,12.7678419144604+5.239743530522i
-48+0i,10+0i,17.6811224881907+22.6166146456222i
-48+0i,11+0i,-0.4672323019314+18.5151304446814i
-48+0i,12+0i,-16.2721175889439-3.6339016122772i
-48+0i,13+0i,-5.41492744408291-1.67144229878485i
-48+0i,14+0i,-5.96220168174177+4.63213761259779i
-48+0i,15+0i,-12.7990818477275-16.9035716871352i
-48+0i,16+0i,-0.33946198711406-1.65003717870786i
-48+0i,17+0i,10.4742349747112+16.9664583791488i
-48+0i,18+0i,-3.87804073652706-7.05524364282685i
-48+0i,19+0i,-3.38428356087581+2.45444210052817i
-48+0i,20+0i,7.03227230389942+2.49867395517282i
-48+0i,21+0i,-3.80560329267697-6.91271142718156i
-48+0i,22+0i,5.10248075280698+9.37605881312958i
-48+0i,23+0i,8.46338947318121-7.30319219637298i
-48+0i,24+0i,-4.76455775153445-8.76366697173245i
-48+0i,25+0i,1.15155527209089+3.00559669827018i
-48+0i,26+0i,2.46845026039758-6.91969740384111i
-48+0i,27+0i,1.0402216191095-1.62462210551141i
-48+0i,28+0i,0.65893874263643-1.57055422839204i
-48+0i,29+0i,-2.63786847428243-0.66705101307091i
-48+0i,30+0i,2.06489785316707+2.98805610192141i
-48+0i,31+0i,3.56647016038509-1.53722237878494i
-48+0i,32+0i,3.97446392582137+6.63335848939509i
-48+0i,33+0i,3.25434333653198+1.14862426382066i
-48+0i,34+0i,-2.49875039233615-2.40693827302506i
-48+0i,35+0i,2.12394521036851+3.02621830406956i
-48+0i,36+0i,0.00790429403169-6.86340110641862i
-48+0i,37+0i,-6.6729460480795+1.99596509486726i
-48+0i,38+0i,2.32485562487023+6.73689016576677i
-48+0i,39+0i,2.94100980885853+5.0540393154953i
-48+0i,40+0i,-5.7534550030723+10.6293363166228i
-48+0i,41+0i,-8.1180195994911+5.51091524412319i
-48+0i,42+0i,-1.03785751446291+7.24106802160505i
-48+0i,43+0i,-0.32003532632716-2.91039995934622i
-48+0i,44+0i,0.44474420116631-4.52536945865834i
-48+0i,45+0i,3.95716517864612+0.08492330412447i
-48+0i,46+0i,-8.44568234932717-7.46405348179961i
-48+0i,47+0i,-4.232155834986+0.75893100466969i
-48+0i,48+0i,-0.90878291023399-1.21025240938268i
-48+0i,49+0i,0.96059073182674-6.29155099225943i
-48+0i,50+0i,8.7304162760741-4.86663104050698i
-47+0i,-49+0i,-5.33713566552082+4.34067143516329i
-47+0i,-48+0i,0.323658264280774+0.768114276500706i
-47+0i,-47+0i,2.73701317649751+3.1206336171155i
-47+0i,-46+0i,-0.98899949588236-2.67587825300859i
-47+0i,-45+0i,-0.24066558763092-5.75790806677905i
-47+0i,-44+0i,0.44747178660376+2.06507230507338i
-47+0i,-43+0i,-6.32305574082879-0.18439785710168i
-47+0i,-42+0i,-7.16087367198526+3.45636097545846i
-47+0i,-41+0i,1.40198028800185-0.87102418932951i
-47+0i,-40+0i,-8.21558578945556-7.55495668850915i
-47+0i,-39+0i,-5.61537952098743-2.52219205991574i
-47+0i,-38+0i,4.91425558425111-3.16350279958031i
-47+0i,-37+0i,-2.80351810394448+1.31743077512999i
-47+0i,-36+0i,1.7247236561023+0.12958679239155i
-47+0i,-35+0i,2.69595713670379-4.49587669493229i
-47+0i,-34+0i,-2.30941350915322-3.9238318491207i
-47+0i,-33+0i,3.64180386330126+3.67449508052836i
-47+0i,-32+0i,2.8096751297458+11.5272612479792i
-47+0i,-31+0i,-1.13686990169108-2.47409252398678i
-47+0i,-30+0i,3.11715954041778-0.17194557969753i
-47+0i,-29+0i,3.33399405957032+9.41437963134194i
-47+0i,-28+0i,-5.92745675220143+7.77607203876166i
-47+0i,-27+0i,-1.5926775233893+15.8361314532292i
-47+0i,-26+0i,4.4594615533992+2.29787476275091i
-47+0i,-25+0i,-6.22204151436412-1.48002583089899i
-47+0i,-24+0i,-6.4750880418263+16.208187390016i
-47+0i,-23+0i,-4.10710061364546+6.26246168237145i
-47+0i,-22+0i,-11.7501253368405-6.5434049650236i
-47+0i,-21+0i,-7.76477853577837-0.40262061897779i
-47+0i,-20+0i,5.29148431744778+7.56346276929114i
-47+0i,-19+0i,2.12729749177968-4.39591665740221i
-47+0i,-18+0i,-7.98187587237637-7.43533218735751i
-47+0i,-17+0i,5.499552805009+6.67955134193932i
-47+0i,-16+0i,9.03506981862915-6.77002938943983i
-47+0i,-15+0i,-3.19608225168232-9.71119537995174i
-47+0i,-14+0i,4.56201533546262-7.63208438283227i
-47+0i,-13+0i,2.8120718984884-14.819281998335i
-47+0i,-12+0i,-3.007021042826+13.8988479597461i
-47+0i,-11+0i,0.3471148224547+12.4205671458439i
-47+0i,-10+0i,2.0141779222652-15.7204361361122i
-47+0i,-9+0i,15.0167762768078+14.4466690843612i
-47+0i,-8+0i,-6.9832102625716+37.6160377884571i
-47+0i,-7+0i,-43.8057890929765+0.4186706079233i
-47+0i,-6+0i,-13.9845984524479-18.8195545416148i
-47+0i,-5+0i,19.8937643188089+8.1511959235685i
-47+0i,-4+0i,3.37926158716326+5.73145883778174i
-47+0i,-3+0i,-6.4086598011692-16.8629222975829i
-47+0i,-2+0i,21.2416152656602-12.6162969131867i
-47+0i,-1+0i,33.7197294570417-20.2162852553252i
-47+0i,0+0i,4.56130989938075-4.70168886733413i
-47+0i,1+0i,6.4975442639931+29.4444840492505i
-47+0i,2+0i,20.0503253650822+6.3535563021202i
-47+0i,3+0i,-12.8584990035008-7.2050174751253i
-47+0i,4+0i,-24.4923847659185+7.3587368361153i
-47+0i,5+0i,-10.1169231464733+0.4610537545522i
-47+0i,6+0i,-19.7420416112243-8.6991935309143i
-47+0i,7+0i,-17.4013457509788-22.9127299511673i
-47+0i,8+0i,10.6009498571675-18.3966249188073i
-47+0i,9+0i,24.1775496350063+13.4151978157134i
-47+0i,10+0i,14.8916098337624+5.0296263485725i
-47+0i,11+0i,-0.9891375745831-10.3442833214397i
-47+0i,12+0i,4.5001871660001+12.4274261913352i
-47+0i,13+0i,11.5899336568324+13.80474249272i
-47+0i,14+0i,-7.8308332436645+10.8335025124128i
-47+0i,15+0i,-11.9130457775378+10.946862251729i
-47+0i,16+0i,-4.79490199599033-3.34904268266988i
-47+0i,17+0i,-5.54839295358502-1.03157892863409i
-47+0i,18+0i,-11.0954112489536-0.9828583520121i
-47+0i,19+0i,-9.91790429995174+3.99237700689001i
-47+0i,20+0i,2.85182917449738-2.49283467611307i
-47+0i,21+0i,0.36998691143611-9.35825339520362i
-47+0i,22+0i,6.6378251946382+12.4251088754107i
-47+0i,23+0i,11.4494520560685+5.2767565203699i
-47+0i,24+0i,-1.48322643755082-0.44875424671775i
-47+0i,25+0i,-6.68496659160514+2.60944784227884i
-47+0i,26+0i,-7.1802491348204-12.3127318130201i
-47+0i,27+0i,-4.09976943127341-6.31568982532952i
-47+0i,28+0i,-1.48591806493367-2.25516410511835i
-47+0i,29+0i,7.7961624346966-10.4465745202193i
-47+0i,30+0i,10.2266594217504+1.8833162913785i
-47+0i,31+0i,10.0528709889708+9.4434146941457i
-47+0i,32+0i,12.9993104467883+4.5860119630041i
-47+0i,33+0i,4.56887746072048+8.28829169269294i
-47+0i,34+0i,1.75624343171821-3.11497133879008i
-47+0i,35+0i,-3.36619206166608+0.08011200934746i
-47+0i,36+0i,3.7216614449132+13.5707446068046i
-47+0i,37+0i,5.85465287121482-0.53247665421874i
-47+0i,38+0i,-9.64416642443581+3.72567373999772i
-47+0i,39+0i,-4.92329058055322+4.28500348786172i
-47+0i,40+0i,-4.20596141206801-6.85154452185621i
-47+0i,41+0i,-0.262816195426858-0.493673007648794i
-47+0i,42+0i,6.69074578464611+1.40369357697148i
-47+0i,43+0i,2.15337395504207+1.85359709140625i
-47+0i,44+0i,8.6115400788783-1.48573235480552i
-47+0i,45+0i,4.47281886607577-2.5227816097999i
-47+0i,46+0i,2.93086729556361-1.56419850425613i
-47+0i,47+0i,8.01213901345253-4.81359393661875i
-47+0i,48+0i,-5.34795954129217+0.60924011067429i
-47+0i,49+0i,-2.03367338622496-0.70549643587934i
-47+0i,50+0i,3.28891505321677-0.45407090543498i
-46+0i,-49+0i,-3.63115729928154+3.07775428748978i
-46+0i,-48+0i,0.21154798948587-2.8953741448071i
-46+0i,-47+0i,5.21524066554055-2.50048310672831i
-46+0i,-46+0i,-4.12671206970712-1.31665752397991i
-46+0i,-45+0i,-1.63509638559069-1.66591497533811i
-46+0i,-44+0i,4.95540617064369+0.34594543461171i
-46+0i,-43+0i,8.99371258083604+1.54018080290973i
-46+0i,-42+0i,3.92414974875608+1.08674788258037i
-46+0i,-41+0i,-6.01337014415123+4.93255801659249i
-46+0i,-40+0i,-7.03906971004554-2.53025683469567i
-46+0i,-39+0i,-5.1566778643429-9.11549839544727i
-46+0i,-38+0i,11.7134060133411-4.597670006971i
-46+0i,-37+0i,11.0162755463849-0.2739343110868i
-46+0i,-36+0i,0.32476608072997+7.00146974284231i
-46+0i,-35+0i,6.15575483185179+5.52292653071607i
-46+0i,-34+0i,-1.9671551002165-2.19145329285585i
-46+0i,-33+0i,1.03866979324597-5.14595778257984i
-46+0i,-32+0i,7.43895639994053-3.2081248378902i
-46+0i,-31+0i,-0.57472203386094-5.50759196756682i
-46+0i,-30+0i,2.77511509449086-7.49607366354031i
-46+0i,-29+0i,8.072631534443+8.5203368639287i
-46+0i,-28+0i,9.91851237237484+6.52015230933936i
-46+0i,-27+0i,2.75191509863881-2.54107209385244i
-46+0i,-26+0i,2.18802594605865+8.18515829463402i
-46+0i,-25+0i,5.16546952579253+2.04717488140445i
-46+0i,-24+0i,-5.14309399907493-3.19482028182328i
-46+0i,-23+0i,-5.4345275080641+4.7896242673213i
-46+0i,-22+0i,-2.01422341298569+6.55534010211902i
-46+0i,-21+0i,3.53700482482268-4.87843535361795i
-46+0i,-20+0i,3.92109490126909-8.54859727201503i
-46+0i,-19+0i,-1.53625002725557+6.87271695315211i
-46+0i,-18+0i,8.7440350143279+2.48026255843452i
-46+0i,-17+0i,10.690605837724+2.6128666444182i
-46+0i,-16+0i,-6.81942702030296+6.35011147434921i
-46+0i,-15+0i,-17.4629987306872-13.4281079034099i
-46+0i,-14+0i,-4.1759962414766-13.4109188130105i
-46+0i,-13+0i,13.2283241380885-0.1645436660722i
-46+0i,-12+0i,10.0827267709734+1.0252991454453i
-46+0i,-11+0i,-4.99532015203953-2.75450411848899i
-46+0i,-10+0i,-8.49247074663586-3.34274097832756i
-46+0i,-9+0i,-5.15596347124812+9.06174738282919i
-46+0i,-8+0i,-21.6049091793564+16.2856674999993i
-46+0i,-7+0i,-30.0350712654865-8.9570347690488i
-46+0i,-6+0i,-0.2042811855669-20.1935568327261i
-46+0i,-5+0i,25.1281886636345+9.064328275517i
-46+0i,-4+0i,10.1662837594759+2.9757796973597i
-46+0i,-3+0i,-0.58838740258244-7.6973135672471i
-46+0i,-2+0i,17.4540379894312+24.0249217165357i
-46+0i,-1+0i,8.2375068909681+15.6150132483233i
-46+0i,0+0i,-8.86288010930622-6.45573873158041i
-46+0i,1+0i,15.4756735528335-7.1611778502946i
-46+0i,2+0i,16.5644687921922-21.3433842228724i
-46+0i,3+0i,-8.35239824145792+5.70654816876995i
-46+0i,4+0i,-0.3125847831102+27.4530794808625i
-46+0i,5+0i,-6.4438993956317-10.2760245758209i
-46+0i,6+0i,-35.5634159958557-11.7533820783119i
-46+0i,7+0i,-22.167476726614-3.755374426087i
-46+0i,8+0i,16.3333586341274-35.341721675105i
-46+0i,9+0i,21.601185731951-22.430346318779i
-46+0i,10+0i,5.1996320271541+22.7940121275447i
-46+0i,11+0i,-5.4946219809203+24.18052017587i
-46+0i,12+0i,-9.19657000343154+4.55821883453954i
-46+0i,13+0i,4.02026052367127-8.39637022581044i
-46+0i,14+0i,8.49446660496609-5.42837043113696i
-46+0i,15+0i,-7.89737138921457+5.97452779230551i
-46+0i,16+0i,-7.02825597774565-0.17731058316606i
-46+0i,17+0i,3.57609571852995-1.01888950319136i
-46+0i,18+0i,-3.30260795828648+1.20774136984118i
-46+0i,19+0i,-6.28033278160174+2.25110572812611i
-46+0i,20+0i,0.030022240058+11.9676355189605i
-46+0i,21+0i,-2.16046524327004+7.86595525044348i
-46+0i,22+0i,-2.62938126420942+0.44777644858128i
-46+0i,23+0i,-1.72686998159578-4.70833014143241i
-46+0i,24+0i,3.17565647816708-9.24051937862727i
-46+0i,25+0i,6.60348574625819+5.04919371749382i
-46+0i,26+0i,2.36490048825244+7.04184880851174i
-46+0i,27+0i,-3.875288286138-12.8206483940494i
-46+0i,28+0i,-4.4710680909957-7.19186703195861i
-46+0i,29+0i,14.734494099851+1.1038533192768i
-46+0i,30+0i,9.55597231630072+5.79643764059724i
-46+0i,31+0i,-6.2823753107183+16.0486304978571i
-46+0i,32+0i,-1.73846807675627-0.60131102430489i
-46+0i,33+0i,-5.2012661758611-6.16199742554039i
-46+0i,34+0i,5.70831345440584-3.16005347704878i
-46+0i,35+0i,12.5639822604212-5.2559483489455i
-46+0i,36+0i,0.11485529250374+3.21857134963354i
-46+0i,37+0i,-3.0302658495449+1.12175659794055i
-46+0i,38+0i,-4.2141515207352-3.91594870024819i
-46+0i,39+0i,-5.57415499198497-8.35704982616044i
-46+0i,40+0i,-1.48397596370547-3.03201150569514i
-46+0i,41+0i,1.88084876417049+3.64975858810716i
-46+0i,42+0i,7.14317160538579+0.87833428425446i
-46+0i,43+0i,9.98360818649875+0.02811041093988i
-46+0i,44+0i,2.68779766113722+1.41800451889415i
-46+0i,45+0i,3.26215835026504+6.15653500122939i
-46+0i,46+0i,-1.26927673020558-1.08138590475965i
-46+0i,47+0i,-3.34685753288974-3.44222258891146i
-46+0i,48+0i,4.27138038339177-0.1093475056162i
-46+0i,49+0i,-4.46924863413234-1.67356892665846i
-46+0i,50+0i,-5.39142702936042+4.84546333339341i
-45+0i,-49+0i,1.79850612431891+6.91892840957334i
-45+0i,-48+0i,-0.153923731276506+0.821406680250822i
-45+0i,-47+0i,3.44756123496663+1.0249780682256i
-45+0i,-46+0i,0.9289078602614+14.0387714660265i
-45+0i,-45+0i,3.34896167737522+0.70518670063743i
-45+0i,-44+0i,0.18565352520886-2.24481614537066i
-45+0i,-43+0i,-0.584641287586055-0.272905081111821i
-45+0i,-42+0i,1.5896300631307-8.64414088984597i
-45+0i,-41+0i,2.59574677804542-3.76717838840088i
-45+0i,-40+0i,-4.05846661389155-1.48084723344866i
-45+0i,-39+0i,-5.44824094988309+3.21343443965076i
-45+0i,-38+0i,7.23220509586754-3.55296252669397i
-45+0i,-37+0i,4.9714464415329-12.48724203778i
-45+0i,-36+0i,5.48021762134272-4.21147180648408i
-45+0i,-35+0i,10.0756902313076+0.2317185816302i
-45+0i,-34+0i,-2.05365444572603+1.49764174569872i
-45+0i,-33+0i,-2.93233392497434-0.86657426085128i
-45+0i,-32+0i,1.84308973229578-2.6340827360486i
-45+0i,-31+0i,-5.40323161111628-6.79930986236644i
-45+0i,-30+0i,-3.8202463003238-10.1218120337985i
-45+0i,-29+0i,2.41365857392643-2.32008888877526i
-45+0i,-28+0i,7.98466452720297-9.29729048119522i
-45+0i,-27+0i,10.3026877792037-12.7921901375227i
-45+0i,-26+0i,-0.52719817243836+3.99839283682863i
-45+0i,-25+0i,-6.64132387006523+5.41763855300418i
-45+0i,-24+0i,-1.61576900078093+3.98372480783122i
-45+0i,-23+0i,4.43070071218032+0.87158091601224i
-45+0i,-22+0i,-0.9541242574115-8.18071447346087i
-45+0i,-21+0i,-4.28883152047898-1.63582323960741i
-45+0i,-20+0i,3.53314206509223-2.02656999332248i
-45+0i,-19+0i,-1.90375190446492-0.9940321960407i
-45+0i,-18+0i,1.27140083348775+3.05500391590055i
-45+0i,-17+0i,10.7027856137849-9.4055159080487i
-45+0i,-16+0i,-4.56984947211137-3.56007655968766i
-45+0i,-15+0i,-9.49068637893017+7.68101178512576i
-45+0i,-14+0i,3.40294560574996-4.25263200673991i
-45+0i,-13+0i,11.4787063497893-13.3703528529151i
-45+0i,-12+0i,9.0288408520893-13.2408139759252i
-45+0i,-11+0i,-8.2044858948477-0.72425981190333i
-45+0i,-10+0i,-14.599984806711+13.5367082039859i
-45+0i,-9+0i,-5.88131227050338+7.88722474282352i
-45+0i,-8+0i,-0.74038898252631-2.64296801037722i
-45+0i,-7+0i,-19.9183882417498-12.4622766207721i
-45+0i,-6+0i,-32.6307050768698-6.871304240341i
-45+0i,-5+0i,10.058036023169+3.887403450618i
-45+0i,-4+0i,19.9328063649582+0.2861651970938i
-45+0i,-3+0i,-9.1593016104559+16.1774210397465i
-45+0i,-2+0i,-0.9853776193655+25.5934928818622i
-45+0i,-1+0i,-0.72968729448128-3.8243448604451i
-45+0i,0+0i,2.9398666136093-24.5238395392058i
-45+0i,1+0i,25.8703201115051-10.209828290028i
-45+0i,2+0i,20.4504515429191+6.9029209689089i
-45+0i,3+0i,11.6474516331703+16.5368240861395i
-45+0i,4+0i,13.4881160619749+24.3238780673892i
-45+0i,5+0i,-5.4365341668078+12.9554368538645i
-45+0i,6+0i,-31.6271054668012+1.3997589792198i
-45+0i,7+0i,-36.1944385620307-10.2198158394183i
-45+0i,8+0i,-10.0086017737443-36.67873671116i
-45+0i,9+0i,18.9452815767785-19.8352068051785i
-45+0i,10+0i,13.8048399554863+26.9846313880485i
-45+0i,11+0i,-7.3186666310688+15.5493233619463i
-45+0i,12+0i,-13.376647379225-8.2769375267991i
-45+0i,13+0i,-1.52398708945571-4.46261441632241i
-45+0i,14+0i,0.6244679465011-9.22719662026412i
-45+0i,15+0i,0.0943821797319-2.90977595882632i
-45+0i,16+0i,11.7388548060365-1.4755994209911i
-45+0i,17+0i,8.06099443348745-1.9055933821423i
-45+0i,18+0i,-0.46003986454981+8.11331060722951i
-45+0i,19+0i,-0.12244164941992+3.56191441808397i
-45+0i,20+0i,-0.62986501040071+8.29475254412503i
-45+0i,21+0i,-7.2489345796046+14.1820768545538i
-45+0i,22+0i,-12.9694093178695+5.6431871127774i
-45+0i,23+0i,-15.0609677669748-5.6160448205322i
-45+0i,24+0i,-1.9305466867988-13.3008327538851i
-45+0i,25+0i,18.2575137835278-12.5373682378339i
-45+0i,26+0i,8.72693231098641-2.83859376354803i
-45+0i,27+0i,5.48765328356332+6.28790511095852i
-45+0i,28+0i,0.63098775461723-1.26932693941622i
-45+0i,29+0i,-14.3001579067917-4.4291332941044i
-45+0i,30+0i,-0.33077377854428+4.95475520923904i
-45+0i,31+0i,0.42832957591478+5.58126047682697i
-45+0i,32+0i,-1.98987430279287-3.14268613970132i
-45+0i,33+0i,3.08848304952853-6.04983045147757i
